NAME,DESCRIPTION,ADDRESSSTREETNAME,HYPERLINK,PHOTOURL,URL_PATH,IMAGE_ALT_TEXT,PHOTOCREDITS,LASTMODIFIED,LATITUDE,LONGTITUDE,META_DESCRIPTION,OPENING_HOURS,Lat,Lng,ICON_NAME,ADDRESSPOSTALCODE
Cable Car Singapore & Mount Faber,Getting to this hilltop dining and entertainment spot at Mount Faber by cable car  is half the fun.,109 Mount Faber Road,http://www.mountfaber.com.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/mount-faber-carouse01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/mount-faber.html,Spend a unique evening overlooking spectacular views on a cable car in Singapore's Mount Faber.,NA,2015-10-02T15:13:15.155+08:00,1.2713746,103.8192057,Getting to the hilltop dining and entertainment spot at Mount Faber by cable car is half the fun.,NA,1.27137459956524,103.819205699928,tourist_spot.gif,0
"Night Safari, Singapore","Instead of going to a club, pop into another popular nightspot, the Night Safari, and mingle with a different crowd of animals at this special zoo.",80 Mandai Lake Road,http://www.nightsafari.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/night-safari-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/fun-with-animals/night-safari.html,"Enter a world of nocturnal creatures at the Night Safari, Singapore.",NA,2015-10-02T15:15:50.135+08:00,1.402187,103.788061,Head to the Night Safari for an after dark visit to the weird and wonderful creatures of the night.,"Daily, 7.30pm - 12am .Last ticket sale at 11.15pm.F and B and retail outlets open from 5.30pm",1.40218700030717,103.788061000138,tourist_spot.gif,NA
Pulau Ubin & Singapore Islands,"Gravel roads, lush forests and abundant wildlife – Pulau Ubin is a living showcase of what Singapore was like in the 1960s.",Pulau Ubin,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=29&Itemid=73,NA,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/singapore-islands/pulau-ubin.html,NA,NA,2015-10-02T15:18:44.241+08:00,1.4137409,103.9592605,"Hop on a bumboat to the island of Pulau Ubin if you want a taste of nature and rustic village life, away from the hustle and bustle of Singapore.",NA,1.41374090015796,103.959260500306,tourist_spot.gif,0
Little India Singapore: History & Culture,Little India is a buzzing historic area that shows off the best of Singapore’s Indian community from vibrant culture to incredible shopping.,60 Bukit Timah Road,http://www.littleindia.com.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/little-india-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/little-india.html,"Immerse yourself in the rich culture of Little India, Singapore.",NA,2015-10-12T15:10:33.979+08:00,1.30723,103.84982,"Little India is a buzzing historic district that shows off the best of Singapore’s Indian community, from vibrant culture to ethnic-inspired shopping.",NA,1.30722999985622,103.849819999951,tourist_spot.gif,NA
"Orchard Road, Singapore: Asia's Most Famous Shopping Street","Orchard Road, Asia’s most famous shopping street, is home to fashion favourites, specialist stores and loads of other lifestyle choices.",437 Orchard Road,http://www.orchardroad.org/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/orchard-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/orchard.html,"Orchard Road, Singapore is nothing short of a shopper's paradise.",Goh Hak Liang,2015-10-14T14:29:19.486+08:00,1.30429,103.83249,"Don’t miss a trip to Orchard Road. Asia’s most famous shopping street is home to fashion favourites, specialist stores and loads of other lifestyle choices.",NA,1.30428999960905,103.83248999979,tourist_spot.gif,NA
MacRitchie Singapore & Singapore Nature Reserve,The attractions around MacRitchie Reservoir is a playground of nature for those who love the outdoors.,MacRitchie Reservoir Park,http://www.nparks.gov.sg/cms/macritchie.php?option=com_visitorsguide&task=naturereserves&id=49&Itemid=75,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/macritchie-nature-reserve-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/reserves/macritchie-nature-reserve.html,MacRitchie Reservoir is nature’s playground for those who love the great outdoors.,NA,2015-10-15T18:52:17.740+08:00,1.344843,103.822346,"The attractions around MacRitchie Reservoir caters to fitness fanatics, water sports enthusiasts and nature lovers.",NA,1.34484299955763,103.822346000051,tourist_spot.gif,NA
Gardens by the Bay,"This sprawling garden in the city provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.",18 Marina Gardens Drive,http://www.gardensbythebay.com.sg/en/home.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/gardens-by-the-bay-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/gardens-by-the-bay.html,Be mesmerised by stunning waterfront views at the award-winning horticultural destination that is Gardens by the Bay.,Derrick See,2015-10-19T15:26:06.746+08:00,1.281568,103.863613,"Gardens by the Bay provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land.","Bay South Outdoor Gardens Daily, 5am - 2am Cooled Conservatories and OCBC Skyway Daily, 9am - 9pm(last ticket sale at 8pm).Far East Organization Children's Garden Tuesday* to Friday, 10am - 7pm(last admission: 6.30pm)*Closed on Tuesday if a public holiday falls on the preceding Monday Weekends and public holidays, 9am - 9pm(last admission: 8.30pm)",1.2815679999757,103.863612999906,tourist_spot.gif,NA
"Civic District, Singapore","The Civic District is where Singapore’s historical, architectural and cultural heritage started.",150 North Bridge Road,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/civic-district-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/civic-district.html,"Immerse yourself in a day of history and culture at the Civic District, Singapore.",NA,2015-10-13T14:04:28.278+08:00,1.29324,103.85222,"The Civic District is where Singapore’s historical, architectural and cultural heritage starts.",NA,1.29324000004312,103.852220000008,tourist_spot.gif,NA
"HarbourFront, Singapore","HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a regional ferry or simply want to eat, shop or relax.",81 Telok Blangah Road,http://www.shba.org.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/harbourfront-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/harbourfront.html,"HarbourFront, Singapore is your exciting gateway to entertainment and Singapore's outlying islands.",St. James Holdings Ltd,2015-10-12T15:30:50.116+08:00,1.26532,103.82057,"HarbourFront is the place to go if you're hopping on a cruise from Singapore, taking a ferry to the outlying islands or simply want to eat, shop or relax.",NA,1.26531999966937,103.82057000041,tourist_spot.gif,NA
"Bras Basah.Bugis, Singapore Cultural District","The Bras Basah.Bugis Precinct is the arts and heritage district in Singapore's civic centre, and home to museums and monuments.",220 Victoria Street,http://www.brasbasahbugis.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/bras-basah-bugis-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/bras-basah-bugis.html,There’s nowhere else quite like shopping at Bugis.,NA,2015-10-12T15:34:32.303+08:00,1.30069,103.85624,"The Bras Basah.Bugis Precinct is the vibrant arts and cultural district in the heart of Singapore's civic centre, and home to top museums and monuments.",NA,1.30068999966651,103.856239999985,tourist_spot.gif,NA
National Gallery Singapore,Take in the region’s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singapore’s awe-inspiring national monuments.,1 St Andrew's Road,http://www.nationalgallery.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/1095-national-gallery-singapore-carousel-01-rec.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/national-gallery-singapore.html,NA,©Darren Soh/National Gallery,2015-10-23T18:03:40.939+08:00,1.290141,103.851356,Take in the region’s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singapore’s awe-inspiring national monuments.,"Effective from 24 November 2015, Sunday to Thursday and  public holidays,10am - 7pm ,Friday to Saturday and  eve of public holidays, 10am - 10pm",1.29014099954902,103.851355999829,tourist_spot.gif,NA
Universal Studios Singapore™ Theme Park,Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosa™.,"8 Sentosa Gateway, Sentosa Island",http://www.rwsentosa.com/language/en-US/Homepage/Attractions/UniversalStudiosSingapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/universal-studios-singapore-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/fun-things-to-do/universal-studios-singapore.html,Southeast Asia's first Hollywood movie theme park offers a dizzying selection of entertainment offerings.,NA,2015-09-29T15:30:43.563+08:00,1.254042,103.823808,Universal Studios Singapore™ at Resorts World™ Sentosa is a movie-themed entertainment park that the whole family can enjoy.,Open daily at 10am.Closing time varies. Please visit the official website for more information.,1.25404199966783,103.823807999914,tourist_spot.gif,NA
Singapore Science Centre,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.,15 Science Centre Road,http://www.science.edu.sg/Pages/SCBHome.aspx,NA,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/fun-things-to-do/science-centre.html,Adults and kids of all ages who are not even science buffs will have fun at the Singapore Science Centre.,NA,2015-09-22T10:24:38.376+08:00,1.33295,103.735872,Singapore Science Centre holds the largest collection of educational materials devoted to science in the country.,"Science Centre Singapore Daily, 10am – 6pm(last admission: 5.15pm) .Omni Theatre Daily, 12pm – 6pm (last show: 6pm) . Snow City Daily, 10am – 6pm (last admission: 5pm) School and public holidays, 10am – 7pm (last admission: 6pm)",1.33294999981986,103.735872000336,tourist_spot.gif,NA
Fuk Tak Chi Museum & Places of Interest,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,76 Telok Ayer Street,http://www.fareastsquare.com.sg/home/index.aspx?key=fuktakchimuseum,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/fuk-tak-chi-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/fuk-tak-chi-museum.html,Marvel at the Fuk Tak Chi Museum's carefully restored architecture in the heart of Chinatown.,Joel Chua DY,2015-09-08T15:13:53.486+08:00,1.28292,103.84887,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,"Daily, 10am – 10pm",1.28291999992317,103.84887000001,tourist_spot.gif,NA
Katong Antique House Singapore: Peranakan Heritage,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.",208 East Coast Road,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/katong-antique-house-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/heritage-discovery/katong-antique-house.html,Marvel at antiques and heirlooms worthy of any museum collection at the Katong Antique House.,NA,2015-09-08T14:39:06.950+08:00,1.30726,103.90714,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.","Daily, 11am – 4.30pm",1.30725999966526,103.907139999936,tourist_spot.gif,NA
Chinese Garden Singapore,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,1 Chinese Garden Road,http://www.nhb.gov.sg/resources/virtual-exhibitions-and-tours/walking-through-heritage/chinese-garden,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/chinese-garden-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/chinese-garden.html,"Step back in time to ancient China at the beautiful Chinese Garden, Singapore.",Vincent Chong,2015-10-02T11:19:38.384+08:00,1.338611,103.73,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,"Daily, 6am – 11pm",1.33861100024931,103.729999999805,tourist_spot.gif,NA
East Coast Park Singapore,"With so many attractions packed into this 15-km stretch of beaches, you’ll never run out of things to do.",Along East Coast Parkway and East Coast Park Service Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=14&Itemid=371,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/east-coast-park-carousel03-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/east-coast-park.html,"Whether you prefer water sports, rollerblading or cycling, find a myriad of things to do at East Coast Park, Singapore.",Joel Chua DY,2015-10-02T14:29:32.607+08:00,1.300784,103.912187,"With so many attractions packed into the 15-km stretch of beaches at East Coast Park, you’ll never run out of things to do.",NA,1.30078400007147,103.912187000398,tourist_spot.gif,0
Fort Canning Park,"Whether you’re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.","Bounded by Hill Street, Canning Rise, Clemenceau Avenue and River Valley Road",http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=16Th,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/fort-canning-park-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/fort-canning-park.html,"Take a stroll back in time at Fort Canning Park, Singapore - a landmark full of history.",Joel Chua DY,2015-10-02T14:32:42.018+08:00,1.295382,103.846509,"Whether you’re a history buff, music fan or nature lover, this historic Fort Canning Park has something for everyone.",NA,1.2953819999981,103.846509000128,tourist_spot.gif,NA
"Kusu Island, Singapore","If you’re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.",Kusu Island,http://www.sentosa.com.sg/en/nature/southern-islands/kusu-island/,NA,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/singapore-islands/kusu-island.html,NA,NA,2015-09-09T09:44:33.992+08:00,1.2230965,103.8605232,"Kusu Island lies to the south of Singapore, and has a wonderful mix of local heritage and beach activities.",NA,1.22309649975255,103.860523199782,tourist_spot.gif,NA
"Jurong Bird Park, Singapore: Attractions & Things to Do","Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.",2 Jurong Hill,http://www.birdpark.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/jurong-bird-park-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/fun-with-animals/jurong-bird-park.html,Enjoy close encounters with some of our prettiest and rarest feathered friends at the Jurong Bird Park.,NA,2015-09-22T10:10:33.155+08:00,1.318706,103.706442,"Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.","Daily, 8.30am - 6pm",1.31870600043617,103.706442000095,tourist_spot.gif,NA
HortPark,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.,33 Hyderabad Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=parks&id=17&Itemid=73,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/hortpark-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/hortpark.html,"Escape the buzz of the city at HortPark, Singapore.",National Parks Board,2015-09-09T09:47:25.899+08:00,1.279069,103.799724,HortPark is a gorgeous collection of stunning gardens and plants that will make you  forget about the bustle of city.,"Daily, 6am –10pm",1.27906900022483,103.799723999919,tourist_spot.gif,NA
Adventure Cove Waterpark™ Singapore,Make a big splash at this aquatic adventure park at Resorts World™ Sentosa.,"8 Sentosa Gateway, Sentosa Island",http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark/AdventureCoveWaterpark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/adventure-cove-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/fun-things-to-do/adventure-cove.html,"Adventure Cove Waterpark™, Singapore is the perfect place to have fun with loved ones.",NA,2015-09-23T19:20:35.693+08:00,1.2573388,103.8195254,Adventure Cove Waterpark™ Singapore at Resorts World™ Sentosa promises a day of wet and wild fun in the sun.,"Daily, 10am – 6pm",1.25733879998354,103.819525400048,tourist_spot.gif,NA
Lasalle College of the Arts,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,1 McNally Street,https://www.lasalle.edu.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lasalle-college-of-the-arts-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/lassalle-college-of-the-arts.html,Lasalle College of the Arts pushes the boundaries of creativity in architecture.,NA,2015-09-24T12:37:44.129+08:00,1.3029,103.8516,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,"Administration Office Monday to Friday, 9am – 6pm.Visitors can still walk around the campus after office opening hours.",1.30290000041802,103.851600000365,tourist_spot.gif,NA
Singapore River: History & Culture Tours,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",10 Eu Tong Sen Street,http://singapore-river.com/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/singapore-river-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/singapore-river.html,Take a stroll along the Singapore River and see how the city came to be.,NA,2015-10-12T15:16:52.053+08:00,1.28848,103.84676,"Get to know the historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. This, after all, is where it all began.",NA,1.28848000019663,103.846759999839,tourist_spot.gif,NA
Joo Chiat/Katong: Singapore Peranakan Neighbourhood,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.",113 East Coast Road,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/joochiat-katong-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/joochiat-katong.html,Spend a day exploring heritage shophouses and quaint stores at Joo Chiat/Katong.,NA,2015-10-12T15:49:21.359+08:00,1.30589,103.90448,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in Joo Chiat/Katong, a charming corner of eastern Singapore.",NA,1.30588999975021,103.904480000301,tourist_spot.gif,NA
"Sentosa Island, Singapore: Leisure & Attractions","Sentosa Island is Singapore’s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the country’s first integrated resort.",33 Allanbrooke Road,http://www.sentosa.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/sentosa-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/sentosa.html,"Get ready for laughs, thrills and loads of fun in the sun at Sentosa Island.",NA,2015-10-12T15:13:28.117+08:00,1.24883,103.82809,"Sentosa Island is Singapore’s favourite leisure destination, with more than 500 hectares filled with exciting attractions, golden beaches, luxe retreats and the country’s first integrated resort, Resorts World Sentosa.",NA,1.24882999996213,103.828089999856,tourist_spot.gif,NA
Chinatown Singapore: History & Culture,"Singapore’s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.",2 Banda Street,http://www.chinatown.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/chinatown-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/chinatown.html,"Chinatown, Singapore is a bustling mix of old-world charm and modern delights.",NA,2015-10-12T14:54:36.802+08:00,1.2817,103.843771,"Singapore’s legendary Chinatown is a bustling mix of old and new, filled with traditional shops and night markets as well as cool stores and cafes.",NA,1.28169999971581,103.843771000142,tourist_spot.gif,NA
Buddha Tooth Relic Temple & Museum in Singapore,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.,288 South Bridge Road,http://www.btrts.org.sg/,NA,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/buddha-tooth-relic-temple-museum.html,NA,NA,2015-11-02T10:18:49.556+08:00,1.28162,103.84438,The Buddha Tooth Relic Temple & Museum is a Tang-styled Chinese Buddhist temple in Chinatown that gets its name from the Sacred Buddha Tooth Relic.,"Daily, 7am – 7pm",1.28161999973785,103.844379999593,tourist_spot.gif,NA
